Tiempo(min)V1     V2
          2 0.04     0.15
          4 0.19     0.67
          6 0.51     1.28
          8 0.94     1.79
         10   1.4    2.38
         12 1.86     2.94
         14 2.35     3.53
         16 2.75     3.95
         18 3.11     4.34
         20 3.48     4.72
         22 3.84     5.09
         24 4.12     5.37
         26 4.41     5.65
         28 4.68     5.93
         30 4.93     6.18
         32 5.17     6.42
         34 5.38     6.62
         36 5.59     6.82
         38 5.77        7
         40 5.95     7.17
         42 6.12     7.31
         44 6.28     7.47
         46 6.42     7.61
         48 6.56     7.72
         50 6.69     7.83
         51 6.75      7.9
         52 6.81     7.93
         53 6.86     7.92
         54 6.89     7.83
         55 6.88     7.68
         56 6.85     7.51
         57 6.78     7.35
         58 6.71     7.24
         59 6.65     7.21
         60 6.61     7.22
         61 6.62     7.25
         62 6.62     7.29
         63 6.64     7.28
         64 6.65     7.21
         65 6.63     7.09
         66 6.58     6.92
         67 6.51     6.79
         68 6.44     6.71
         69 6.38     6.71
         70 6.36     6.75
         71 6.36     6.81
         72 6.39     6.88
         73 6.42     6.89
         74 6.44     6.84
         75 6.43     6.73
         76   6.4    6.61
         77 6.34     6.48
         78 6.27     6.43
         79 6.23     6.43
         80 6.21     6.49
         81 6.23     6.58
         82 6.26     6.65
         83   6.3    6.69
         84 6.33     6.66
         85 6.33     6.57
         86   6.3    6.47
         87 6.25     6.34
         88 6.19     6.29
         89 6.16     6.32
         90 6.15     6.38
         91 6.18     6.47
         92 6.21     6.56
         93 6.26     6.59
         94 6.29     6.56
 94.5   6.29   6.53
   95   6.29   6.48
 95.5   6.28   6.43
   96   6.26   6.36
 96.5   6.24    6.3
   97   6.21   6.25   <<
 97.5   6.18   6.22
   98   6.16    6.2
 98.5   6.13   6.21
   99   6.12   6.24
 99.5   6.11   6.26
 100    6.11    6.3
100.5   6.12   6.35
 101    6.14    6.4
101.5   6.16   6.45
 102    6.18   6.49
102.5    6.2   6.52
 103    6.23   6.53
103.5   6.25   6.53
 104    6.26   6.51
104.5   6.27   6.46
 105    6.26   6.42
105.5   6.25   6.37
 106    6.24   6.31
106.5   6.21   6.25
 107    6.19    6.2
107.5   6.16   6.17
 108    6.13   6.15
108.5   6.11   6.16
 109     6.1   6.18
109.5   6.09    6.2
 110    6.09   6.25
110.5    6.1    6.3
 111    6.11   6.34
111.5   6.13   6.39
 112    6.15   6.43
112.5   6.18   6.46
 113     6.2   6.48
113.5   6.22   6.47
 114    6.23   6.45
114.5   6.24   6.42
 115    6.23   6.36
115.5   6.23   6.32
 116    6.21   6.26
116.5   6.19    6.2
 117    6.16   6.16
117.5   6.13   6.13
 118    6.11   6.11
118.5   6.09   6.13
 119    6.09   6.15
119.5   6.08   6.18
 120    6.08   6.23
120.5   6.09   6.28
 121    6.11   6.33
121.5   6.13   6.39
 122    6.16   6.43
122.5   6.18   6.46
 123     6.2   6.48
123.5   6.23   6.48
 124    6.24   6.46
124.5   6.25   6.43
 125    6.25   6.38
125.5   6.24   6.33
 126    6.23   6.27
126.5   6.21   6.21
 127    6.18   6.17
127.5   6.16   6.15
 128    6.13   6.14
128.5   6.11   6.14
 129     6.1   6.16
129.5    6.1    6.2
 130     6.1   6.24
130.5   6.11   6.29
 131    6.13   6.35
131.5   6.15    6.4
 132    6.18   6.45
132.5    6.2   6.47
 133    6.23    6.5
133.5   6.25   6.49
 134    6.27   6.47
134.5   6.27   6.44
 135    6.27   6.39
135.5   6.27   6.34
 136    6.25   6.29
136.5   6.23   6.22
 137     6.2   6.18
137.5   6.18   6.16
 138    6.16   6.14
138.5   6.13   6.16
 139    6.13   6.17
139.5   6.12   6.21
 140    6.13   6.26

