-        T(min) V1        V2
Apagado     0.25     8.21      6.93
-             0.5    8.22      6.94
-           0.75     8.22      6.95
-               1    8.23      6.96
-           1.25     8.24      6.97
-             1.5    8.24      6.98
-           1.75     8.24      6.99
-               2    8.24         7
-           2.25     8.24      7.02
-             2.5    8.23      7.03
-           2.75     8.22      7.04
-               3     8.2      7.04
-           3.25     8.17      7.05
-             3.5    8.15      7.06
-           3.75     8.12      7.06
-               4    8.09      7.06
-           4.25     8.05      7.06
-             4.5    8.02      7.05
-           4.75     7.97      7.04
-               5    7.93      7.04
prendido    5.25     7.86      7.02
-             5.5    7.82      7.02
-           5.75     7.78         7
-               6    7.73      6.98
-           6.25     7.68      6.97
-             6.5    7.63      6.95
-           6.75     7.59      6.93
-               7    7.56       6.9
-           7.25     7.52      6.88
-             7.5     7.5      6.87
-           7.75     7.48      6.85
-               8    7.46      6.83
-           8.25     7.45      6.81
-             8.5    7.43      6.79
-           8.75     7.43      6.78
-               9    7.43      6.77
-           9.25     7.43      6.76
-             9.5    7.44      6.75
-           9.75     7.44      6.74
-             10     7.45      6.73
Apagado    10.25     7.46      6.73
-           10.5     7.47      6.73
-          10.75     7.48      6.73
-             11     7.49      6.73
-          11.25      7.5      6.73
-           11.5     7.51      6.73
-          11.75     7.52      6.73
-             12     7.52      6.74
-          12.25     7.52      6.74
-           12.5     7.52      6.75
-          12.75     7.51      6.75
-             13     7.49      6.75
-          13.25     7.47      6.75
-           13.5     7.45      6.75
-          13.75     7.43      6.75
-             14      7.4      6.75
-          14.25     7.37      6.74
-           14.5     7.34      6.73
-          14.75      7.3      6.72
-             15     7.27      6.71
prendido   15.25      7.2       6.7
-           15.5     7.16      6.68
-          15.75     7.11      6.66
-             16     7.07      6.64
-          16.25     7.03      6.63
-           16.5     6.99      6.61
-          16.75     6.95      6.59
-             17     6.92      6.56
-          17.25     6.89      6.54
-            17.5   6.87   6.53
-           17.75   6.85    6.5
-              18   6.84   6.49
-           18.25   6.84   6.47
-            18.5   6.83   6.45
-           18.75   6.83   6.44
-              19   6.83   6.43
-           19.25   6.84   6.42
-            19.5   6.85   6.41
-           19.75   6.86   6.41
-              20   6.88    6.4
Apagado     20.25   6.89    6.4
-            20.5   6.91    6.4
-           20.75   6.93    6.4
-              21   6.94    6.4
-           21.25   6.96   6.41
-            21.5   6.97   6.41
-           21.75   6.99   6.41
-              22      7   6.42
-           22.25   7.01   6.43
-            22.5   7.01   6.43
-           22.75   7.01   6.44
-              23      7   6.45
-           23.25   6.98   6.45
-            23.5   6.95   6.45
-           23.75   6.93   6.45
-              24   6.91   6.45
-           24.25   6.89   6.44
-            24.5   6.86   6.44
-           24.75   6.83   6.43
-              25   6.79   6.42
encendido   25.25   6.72    6.4
-            25.5   6.68   6.38
-           25.75   6.63   6.36
-              26   6.59   6.34
-           26.25   6.55   6.33
-            26.5   6.52   6.32
-           26.75   6.49   6.29
-              27   6.46   6.27
-           27.25   6.44   6.25
-            27.5   6.43   6.23
-           27.75   6.42   6.22
-              28   6.41    6.2
-           28.25   6.41   6.19
-            28.5   6.42   6.18
-           28.75   6.43   6.17
-              29   6.44   6.16
-           29.25   6.45   6.15
-            29.5   6.47   6.15
-           29.75   6.48   6.14
-              30    6.5   6.14
Apagado     30.25   6.51   6.14
-            30.5   6.55   6.14
-           30.75   6.58   6.15
-              31    6.6   6.16
-           31.25   6.63   6.16
-            31.5   6.64   6.17
-           31.75   6.66   6.18
-              32   6.68   6.19
-           32.25   6.68    6.2
-            32.5   6.69    6.2
-           32.75   6.69   6.21
-              33   6.69   6.22
-           33.25   6.68   6.23
-            33.5   6.67   6.23
-           33.75   6.66   6.23
-              34   6.64   6.24
-           34.25   6.62   6.23
-            34.5   6.59   6.23
-           34.75   6.57   6.23
-             35    6.54   6.22
encendido   35.25   6.51   6.21
-            35.5   6.47    6.2
-           35.75   6.44   6.19
-              36   6.41   6.18
-           36.25   6.38   6.17
-            36.5   6.35   6.15
-           36.75   6.32   6.13
-              37   6.31   6.12
-           37.25    6.3   6.11
-            37.5   6.29   6.09
-           37.75   6.29   6.08
-              38   6.29   6.07
-           38.25    6.3   6.06
-            38.5   6.31   6.05
-           38.75   6.32   6.04
-              39   6.34   6.04
-           39.25   6.36   6.04
-            39.5   6.37   6.04
-           39.75    6.4   6.04
-              40   6.45   6.04
Apagado     40.25   6.45   6.05
-            40.5   6.48   6.05
-           40.75    6.5   6.06
-              41   6.52   6.07
-           41.25   6.55   6.08
-            41.5   6.58   6.09
-           41.75   6.59    6.1
-              42   6.62   6.11
-           42.25   6.63   6.12
-            42.5   6.64   6.13
-           42.75   6.65   6.15
-              43   6.65   6.16
-           43.25   6.64   6.16
-            43.5   6.63   6.17
-           43.75   6.62   6.18
-              44    6.6   6.18
-           44.25   6.58   6.18
-            44.5   6.56   6.18
-           44.75   6.54   6.18
-              45   6.51   6.18
encendido   45.25   6.49   6.17
-            45.5   6.45   6.17
-           45.75   6.42   6.16
-              46   6.39   6.15
-           46.25   6.36   6.13
-            46.5   6.33   6.12
-           46.75   6.31   6.11
-              47   6.29   6.09
-           47.25   6.28   6.08
-            47.5   6.27   6.07
-           47.75   6.27   6.06
-              48   6.27   6.04
-           48.25   6.28   6.03
-            48.5   6.29   6.02
-           48.75    6.3   6.02
-              49   6.32   6.02
-           49.25   6.34   6.02
-            49.5   6.36   6.02
-           49.75   6.38   6.02
-              50   6.41   6.02
Apagado     50.25   6.44   6.03
-            50.5   6.46   6.04
-           50.75   6.49   6.04
-              51   6.52   6.05
-           51.25   6.54   6.07
-            51.5   6.56   6.07
-           51.75   6.59   6.09
-              52   6.61    6.1
-           52.25   6.63   6.11
-            52.5   6.64   6.13
-           52.75   6.65   6.13
-              53   6.65   6.15
-           53.25   6.65   6.16
-            53.5   6.63   6.17
-           53.75   6.63   6.18
-              54   6.62   6.18
-           54.25    6.6   6.18
-            54.5   6.57   6.18
-           54.75   6.55   6.18
-              55   6.53   6.18
encendido   55.25   6.49   6.18
-            55.5   6.46   6.17
-           55.75   6.43   6.16
-              56    6.4   6.15
-           56.25   6.38   6.14
-            56.5   6.35   6.13
-           56.75   6.32   6.12
-              57   6.32    6.1
-           57.25    6.3   6.09
-            57.5   6.29   6.07
-           57.75   6.29   6.07
-              58   6.29   6.05
-           58.25    6.3   6.04
-            58.5   6.31   6.04
-              59   6.35   6.03
-           59.25   6.37   6.03
-            59.5   6.39   6.03
-           59.75   6.42   6.04
-              60   6.45   6.04
-           60.25   6.47   6.04
Apagado      60.5   6.51   6.06
-           60.75   6.53   6.07
-              61   6.59   6.09
-           61.25   6.62    6.1
-            61.5   6.66   6.12
-           61.75   6.68   6.13
-              62    6.7   6.15
-           62.25   6.72   6.17
-            62.5   6.72   6.18
-           62.75   6.73    6.2
-              63   6.73   6.21
-           63.25   6.72   6.22
-            63.5   6.71   6.23
-           63.75    6.7   6.23
-              64   6.68   6.24
-           64.25   6.65   6.24
-            64.5   6.63   6.24
-           64.75    6.6   6.23
-              65   6.58   6.23
-           65.25   6.54   6.23
encendido    65.5   6.51   6.22
-           65.75   6.48   6.21
-              66   6.45    6.2
-           66.25   6.41   6.18
-            66.5   6.38   6.17
-           66.75   6.34   6.16
-              67   6.32   6.14
-           67.25   6.29   6.13
-            67.5   6.27   6.11
-           67.75   6.25   6.09
-              68   6.25   6.08
-           68.25   6.24   6.07
-            68.5   6.24   6.05
-           68.75   6.24   6.04
-              69   6.24   6.03
-           69.25   6.26   6.02
-            69.5   6.27   6.02
-           69.75   6.28   6.01
-              70    6.3   6.01
