TipoE    TipoK    TipoR   TipoS
0.000    0.000    0.000   0.000
0.591    0.397    0.054   0.055
1.192    0.80     0.11    0.11    
1.801    1.203    0.171   0.173  
2.420    1.612    0.232   0.235
3.048    2.023    0.296   0.299
3.685    2.436    0.363   0.365
4.330    2.851    0.431   0.433
4.985    3.267    0.501   0.502
5.648    3.682    0.573   0.573
6.319    4.096    0.647   0.646
6.998    4.509    0.723   0.720
7.685    4.920    0.800   0.795
8.379    5.328    0.879   0.872
9.081    5.735    0.959   0.950
9.789    6.138    1.041   1.029
10.503   6.540    1.124   1.110
11.224   6.941    1.208   1.191
11.951   7.340    1.294   1.273
12.684   7.739    1.381   1.357
13.421   8.138    1.469   1.441
14.164   8.539    1.558   1.526
14.912   8.940    1.648   1.612
15.664   9.343    1.739   1.698
16.420   9.747    1.831   1.786
17.181   10.153   1.923   1.874
17.945   10.561   2.017   1.962
18.713   10.971   2.112   2.052
19.484   11.382   2.207   2.141
20.259   11.795   2.304   2.232
21.036   12.209   2.401   2.323
21.817   12.624   2.498   2.415
22.600   13.040   2.597   2.507
23.386   13.457   2.696   2.599
24.174   13.874   2.796   2.692
24.964   14.293   2.896   2.786
25.757   14.713   2.997   2.880
26.552   15.133   3.099   2.974
27.348   15.554   3.201   3.069
28.146   15.975   3.304   3.164
28.946   16.397   3.408   3.259
29.747   16.820   3.512   3.355
30.550   17.243   3.616   3.451
31.354   17.667   3.721   3.548
32.159   18.091   3.827   3.645
32.965   18.516   3.933   3.742
33.772   18.941   4.040   3.840
34.579   19.366   4.147   3.938
35.387   19.792   4.255   4.036
36.196   20.218   4.363   4.134

